names,prices,source,is_male
MIZUO WAVE MUJIN 6 Femme | Peacock Blue / Enamel Blue / Bright Rose,145,from_mizuno,0
MIZUNO Wave Mujin 4 Homme Orange / Rouge / Noir,145,from_mizuno,1
MIZUNO WAVE RIDER 23 Femme | Hibiscus / Vapor Blue / Astral Aura,145,from_mizuno,0
MIZUNO WAVE DAICHI 3 Homme | Cherry Tomato/Estate Blue/High Risk Red,125,from_mizuno,1
MIZUNO Wave Horizon Homme Bleu / Blanc / Orange,180,from_mizuno,1
MIZUNO WAVE DAICHI 3 Femme Bird of Paradise/Estate Blue/Georgia Peach,125,from_mizuno,0
MIZUNO Wave Inspire 14 Homme Noir / Blanc / Jaune,145,from_mizuno,1
MIZUNO Wave Sky Homme Bleu / Orange,170,from_mizuno,1
MIZUNO Wave Sky Homme Jaune / Noir,170,from_running,1
MIZUNO WAVE MUJIN 5 Homme Cherry Tomato/Silver/Estate Blue,145,from_running,1
MIZUNO Wave Rider 21 Femme Rose / Bleu / Noir / Blanc,145,from_running,0
MIZUNO Wave Ultima 9 Homme Bleu / Blanc / Rouge,135,from_running,1
MIZUNO WAVE SHADOW 2 Femme | Peacock Blue/Silver/Teaberry,130,from_running,0
MIZUNO WAVE HAYATE 4 Homme | Cherry Tomato/Silver/Estate Blue,130,from_running,1
MIZUNO Wave Rider 21 - Homme - Bleu / Blanc,145,from_running,1
MIZUNO Wave Sky - Femme - Rose / Blanc / Bleu,170,from_running,0
MIZUNO WAVE INSPIRE 14 Homme Cherry Tomato/White/Turkish Tile,145,from_running,1
MIZUNO WAVE RIDER 22 Homme | Ombre Blue/Safety Yellow/Diva Blue,145,from_running,1
MIZUNO WAVE RIDER 22 Femme Blue Attol/White/Georgia Peach,145,from_running,0
MIZUNO WAVE DAICHI 4 Femme | Peacock Blue / Enamel Blue / Bright Rose,125,from_running,0
MIZUNO WAVE RIDER 22 Femme | Blue Mirage/Fiery Coral/Diva Blue,145,from_running,0
MIZUNO WAVE ULTIMA 10 Femme | Blue Mirage/Fiery Coral/Diva Blue,135,from_running,0
